入學年,身份證字號,姓名,性別(男生:1，女生:2),生日,家長姓名,戶籍住址,戶籍遷入日期,通訊住址,市話,手機號碼,國小校名,國小班級(國小新生免填)
93,c111111111,王小明,1,1991-01-01,王大明,台南縣佳里鎮下寮里中和街4號,,,3770771,,網路國小,六年一班
93,c111111112,林小華,1,1991-02-01,林大華,台南縣佳里鎮安仁里5鄰梧棲路9號,,,3770772,,網路國小,六年一班
93,c111111113,李小山,1,1991-03-01,李大山,台南縣佳里鎮中正里7鄰中興路18巷2,,,3770773,,網路國小,六年二班
93,c111111114,陳小玉,2,1991-04-01,陳大玉,台南縣佳里鎮中正里19鄰梧棲路11巷2號,,,3770774,,網路國小,六年二班
93,c111111115,方小芳,2,1991-05-01,方大芳,台南縣佳里鎮南寮村8鄰中沙路2號,,,3770775,,網路國小,六年三班
93,c111111116,錢小花,2,1991-06-01,錢大花,台南縣佳里鎮文化里7鄰東建路1號,,,3770776,,網路國小,六年三班
93,c111111117,張小玫,2,1991-07-01,張大玫,台南縣佳里鎮中正里19鄰梧棲路11巷99號,,,3770777,,虛擬國小,六年一班
93,c111111118,黃小鳳,2,1991-08-01,黃大鳳,台南縣佳里鎮中正里中興路18巷1弄12號,,,3770778,,虛擬國小,六年一班
93,c111111119,吳小琳,2,1991-09-01,吳大琳,台南縣佳里鎮下寮里中和街7號,,,3770779,,虛擬國小,六年二班
93,c111111120,劉小羽,1,1991-10-01,劉大羽,台南縣佳里鎮南寮村8鄰中沙路2號,,,3770770,,虛擬國小,六年二班
93,c111111121,呂小布,1,1991-11-01,呂大布,台南縣佳里鎮下寮里中和街4號,,,3770872,,虛擬國小,六年三班
93,c111111122,杜小心,1,1991-12-01,杜大心,台南縣佳里鎮下寮里中和街5號,,,3770177,,虛擬國小,六年三班
93,c111111123,邱小宏,1,1991-05-04,邱大宏,台南縣佳里鎮下寮里中和街6號,,,3770977,,虛擬國小,六年三班
